commit_or_contract	source	subject	classification	final_tree_location	port_action	test_evidence	decision_owner	rationale
c0626bd6cd32cb89ec6a9cb54a9a8af7f229d041	public-master-only	Merge 'codex/open-source-docs-architecture' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
5750db97d3bf03448bb055e973bda3bdebcc39f7	public-master-only	增加UT覆盖	mixed-budget-breaker	core/**;tests/test_basic.c	retain-budget-defer-breaker	static-contract-audit;current-ctest	product-mobile-core	Budget and scratch hardening are present; breaker ingress policy is intentionally not ported until persistent WAL semantics are defined.
5fa96c859bb446b02bcd245bd09650e9625c9555	public-master-only	Merge 'codex/import-mr9-budget-breaker' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
ef3b2a600b3e0860e7568e1ad78c50b79c386b3d	public-master-only	Merge GitHub initial license	license-merge	LICENSE	ported-c6	exact-blob-match-origin-main	release	License content is represented by the single tracked LICENSE file.
f8fb888e347265c6e05c4948fac0776c25cfb662	public-master-only	fix: 收敛 main 上 builder 哨兵缺失、env init 竞态、curl 残留 error_message	hardening-equivalent	adapters/src/ve_tls_http_curl.c;core/src/producer/**;core/src/ve_tls_*.c	noop	static-contract-audit;curl-reuse-regression;current-ctest	mobile-core	Final implementations are equivalent or stronger; C6 adds direct curl response reuse coverage.
c128236d2606dc007a2caf9554fcfba0b08f2a9c	public-master-only	Merge 'codex/import-from-persistent' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
5c77355e741a771afa08b43afcccc2ff2d42fdc0	public-master-only	Merge github/master (LICENSE) into main	license-merge	LICENSE	ported-c6	exact-blob-match-origin-main	release	License content is represented by the single tracked LICENSE file.
b11455aa00aece35161fed69aad98038ff6078fa	public-master-only	检视意见修改	review-hardening	LICENSE;core/src/producer/ve_tls_producer_builder.c;adapters/src/ve_tls_http_curl.c;tests/test_basic.c	ported-c1-c6	allocator-failure-regression;curl-reuse-regression;current-ctest	mobile-core	Builder body ownership was ported in C1, equivalent hardening retained, and LICENSE restored in C6.
b76c6a6bfaf0bbda49be83ddddfffd1271bfdbf9	public-master-only	Merge 'bugfix_main' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
5999e7dee8900c70c2fc74a52ccd96875dc71648	public-master-only	Merge branch 'main' of code.byted.org:volcengine/ve-tls-c-sdk	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
1246558e0134b8701ebd7ccfdf67a2979d292dde	public-master-only	检视意见修改	review-hardening-equivalent	core/src/producer/ve_tls_env.c;core/src/producer/ve_tls_producer_builder.c;core/src/ve_tls_sign.c;tests/test_basic.c	noop	static-contract-audit;current-ctest	mobile-core	Final env lifecycle, ownership, sender, and signing implementations are equivalent or stronger.
b9ec2658cdd6b173495af68ebd66391978e70caa	public-master-only	Merge 'bugfix_main' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
71e7c4a18874c112d9d224ad683c0ee6f3f5ab63	public-master-only	Merge branch 'main' of code.byted.org:volcengine/ve-tls-c-sdk	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	Public master tip wrapper has no independent final-tree semantics.
9c44c1451c1904e403714fc33318ea466bf022e2	public-persistent-only	提供日志服务c语言的sdk，具备producer日志发送能力	ancestor-kept-core	core/**;adapters/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Foundational producer implementation remains in the final tree.
e4ad07ef4c56f1d2736a966f2dab32d4c5872a6c	public-persistent-only	一些检视意见修改	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in ancestry and are covered by the current suite.
09c9294d0060a85c9fb186d0d809f20e38e555d9	public-persistent-only	统计信息提供入口，降低非必要的遍历	ancestor-kept-metrics	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Metrics entry-point optimization remains in the final tree.
2f995854a59dda0a0e31dd48e55ac84952709703	public-persistent-only	提升c sdk的稳定性和易用性	ancestor-kept-hardening	core/**;adapters/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Stability and usability hardening remains in the final tree.
0f2cb9e5a7ca4ad616f64f663f9520227fb212a3	public-persistent-only	性能压测	mixed-benchmark-generated	tools/**	superseded	git-is-ancestor;static-final-tree	mobile-core	Useful perf tooling evolved; generated build trees were intentionally removed and are not ported.
380c3c33791d1223e64ed606b7950f32ae06bbcc	public-persistent-only	优化性能问题	performance-iteration	core/**;tests/**	superseded-by-final-tree	git-is-ancestor;current-ctest	mobile-core	The same hot paths were rewritten by later architecture and persistent changes.
6807ee1e258b817f8289110612506b5df7ae44cd	public-persistent-only	优化性能问题	performance-iteration	core/**;tests/**	superseded-by-final-tree	git-is-ancestor;current-ctest	mobile-core	The same hot paths were rewritten by later architecture and persistent changes.
10673fb65609b9cbfa88db1613ab2694e32b0c03	public-persistent-only	优化性能问题	performance-iteration	core/**;tests/**	superseded-by-final-tree	git-is-ancestor;current-ctest	mobile-core	The old public batching field was removed while internal batching behavior evolved.
838395fa4bb96f686e10f423e95bc87905e39e15	public-persistent-only	enable_tls_batching自动区分	batching-superseded	core/src/ve_tls_producer.c;tests/**	superseded-by-automatic-batching	git-is-ancestor;current-ctest	mobile-core	The legacy config symbol is absent; batching is selected internally in the final implementation.
2962cf713f41a3e6ce2385dc8a6d51ff7363b0a2	public-persistent-only	极致的优化性能	ancestor-kept-performance	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Performance changes remain in the final tree.
016884d17b22700312fda72daec6867b0fa89ecc	public-persistent-only	小包不压缩阈值 + 签名派生密钥缓存	ancestor-kept-compression-signing	core/src/ve_tls_compress.c;core/src/ve_tls_sign.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Compression threshold and signing cache remain in the final tree.
496cd22ef51e11cd34d2fb11991e94d3ad274bae	public-persistent-only	架构层面的优化	architecture-superseded	core/src/producer/ve_tls_snapshot.c;core/src/producer/**;tests/**	superseded-by-persistent-architecture	git-is-ancestor;current-ctest	mobile-core	Snapshot behavior remains, while the old pool architecture was replaced by the persistent implementation.
97538520806536fbc570cad1d8fdb1075f5131e3	public-persistent-only	支持persistpersist能力	ancestor-kept-persistent	core/src/producer/ve_tls_persistent*.c;core/src/producer/ve_tls_segment_store.c;bindings/android/**	keep	git-is-ancestor;current-ctest	mobile-core	Persistent producer is the selected mobile-core baseline.
a49033cc6f71a94e88770c0000cf9ce5ea5363a7	public-persistent-only	真实环境压测	ancestor-kept-benchmark	tools/**	keep	git-is-ancestor;build-tools-off	mobile-core	Real-environment benchmark history is retained separately from release correctness evidence.
4719f0068554ff287101e1a88a26bfbca0cef71b	public-persistent-only	优化性能：segment 元数据缓存化，reclaim 不再重复全段扫描	ancestor-kept-persistent-performance	core/src/producer/ve_tls_segment_store.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Segment metadata caching remains in the final tree.
da2713b5e4415156a0b37ca1e8f59fe35ce82fcd	public-persistent-only	perf(persistent): cache segment metadata for reclaim	historical-plan	docs/plans/2026-04-11-persistent-performance-optimization-plan.md	superseded	git-is-ancestor;file-absent-final-tree	mobile-core	This commit only changed a historical plan later removed during repository cleanup.
faa451f1fb02d16c1aba15f15657d045fdb1ff93	public-persistent-only	perf(persistent): release producer mutex during durable append	ancestor-kept-persistent-concurrency	core/src/ve_tls_producer.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Append locking changes remain in the final tree.
38f57baf8d48dd0f19436a2b810c7e1c8879cf9d	public-persistent-only	perf(bench): add persistent phase metrics	ancestor-kept-benchmark	tools/**	keep	git-is-ancestor;build-tools-off	mobile-core	Benchmark-only metrics are retained as tooling.
a3df74489a6042a3bb582531a4ddeb1164f3295d	public-persistent-only	perf(persistent): support multi-sender ack fencing	ancestor-kept-ack	core/src/producer/ve_tls_persistent.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Multi-sender completion fencing remains available while the default remains one sender.
54ff57230b9e9b29dabaf0c8ea569fc13800e0f4	public-persistent-only	perf(persistent): reuse append encode buffer	ancestor-kept-persistent-performance	core/src/producer/ve_tls_persistent*.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Append encode-buffer reuse remains in the final tree.
909afd60fcb61dbb6d87e7f828fb6b2fa7b36e80	public-persistent-only	perf(persistent): stream segment metadata scans	ancestor-kept-persistent-performance	core/src/producer/ve_tls_segment_store.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Streaming segment scans remain in the final tree.
0c9cd42f733bb3420c9d8b333f19edbc274fa9d4	public-persistent-only	perf(bench): allow persistent real multi-sender runs	benchmark-superseded	tools/persistent_real_bench.c	superseded-by-single-sender-default	git-is-ancestor;static-final-tree	mobile-core	The old multi-sender benchmark CLI was removed; multi-sender ACK fencing remains in core.
06ed352b9f7cd1bc3a2db539b64e1615bd6b3ee5	public-persistent-only	chore(persistent): default to single sender	ancestor-kept-default	core/src/ve_tls_producer.c;docs/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Single sender remains the persistent default.
f10fba1d0b76fa149c4587b99712c5b651ef85b0	public-persistent-only	docs(plan): converge persistent optimization priorities	historical-plan	docs/plans/2026-04-11-persistent-performance-optimization-plan.md	superseded	git-is-ancestor;file-absent-final-tree	mobile-core	Historical plan was intentionally removed during repository cleanup.
986117ad4f0831d726c979494a54be75f862dbf3	public-persistent-only	docs(plan): capture persistent ack hot path gaps	historical-plan	docs/plans/2026-04-11-persistent-performance-optimization-plan.md	superseded	git-is-ancestor;file-absent-final-tree	mobile-core	Historical plan was intentionally removed during repository cleanup.
2704cfadc51e0a481d435cc95552766c8f3de16f	public-persistent-only	optimize persistent reclaim cursor	ancestor-kept-reclaim	core/src/producer/ve_tls_persistent.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Reclaim cursor optimization remains in the final tree.
171da38914f5172b69eb343bc1a6d24b7ca4e074	public-persistent-only	throttle persistent checkpoint persistence	ancestor-kept-checkpoint	core/src/producer/ve_tls_checkpoint.c;core/src/producer/ve_tls_persistent.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Checkpoint throttling remains, with later ACK/durability fixes layered above it.
3704f6a981077d00eec6ad6f42be1a6f6358b828	public-persistent-only	delay persistent reclaim after ack	ancestor-kept-reclaim	core/src/producer/ve_tls_persistent.c;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Delayed reclaim remains, with low-watermark behavior corrected in C4.
50fb17ee5d7b833d871432099d541a6aa34b8708	public-persistent-only	流程优化	ancestor-kept-flow	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Flow optimization remains in the final tree.
0f0c47c53a6bfe8378f3803f6566b5041bdd266c	public-persistent-only	docs: add PutLogs and producer demos	ancestor-kept-docs-demo	docs/**;tools/**	keep	git-is-ancestor;static-final-tree	mobile-core	Producer documentation and demos remain in ancestry and final tree where applicable.
3502e03160a56ccaa6b8dc22a399a80bb0c71658	public-persistent-only	feat(persistent): sync producer budget guards and perf metrics	ancestor-kept-budget	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Budget guards and metrics are retained.
a9903cc54b51e0520ba8f80653addb5a03804f70	public-persistent-only	Merge 'feat/support_perisetent' into 'persisent'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
913034a5874b914909f1086badbb316d3010bd5e	public-persistent-only	feat(persistent): align producer budget, perf metrics, and repo hygiene	ancestor-kept-budget	core/**;tests/**;repo-config	keep	git-is-ancestor;current-ctest	mobile-core	Budget, metrics, and hygiene changes are retained.
e9b8faf6d0abd9fea446524c007a8d2d4d50c0df	public-persistent-only	Merge 'feat/support_perisetent' into 'persisent'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
94385318827d6986fa539c47eb12c36ffcada40d	public-persistent-only	Merge branch 'feat/support_perisetent' of code.byted.org:volcengine/ve-tls-c-sdk into feat/support_perisetent	pseudo-merge-android-binding	bindings/android/**;tests/test_android_binding.c;core/**	keep	git-diff-tree;android-binding-ctest	mobile-core	Despite its subject, this single-parent commit carries Android binding payload and must not be treated as a no-op wrapper.
02f1cb6ce6351f080d6427b71dc6d41990411ba0	public-persistent-only	Merge 'feat/support_perisetent' into 'persisent'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
8363eaab7cf80e7ec754d081b82642a6228e6460	public-persistent-only	优化c sdk	ancestor-kept-hardening	core/**;adapters/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	SDK hardening remains in the final tree.
2988f1979cf98e2791ab50d6dce34c35587e1d44	public-persistent-only	Merge 'feat/support_perisetent' into 'persisent'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
df844f37e4b53856f2cbd1c1fc1d5fd2f6b6ef91	public-persistent-only	Sync producer budget fixes for persistent	ancestor-kept-budget	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Producer budget fixes remain in the final tree.
b91892d5682e3de6ccb36ff3e444904f17c68ae2	public-persistent-only	增加UT门禁	ancestor-kept-tests	tests/**;repo-config	keep	git-is-ancestor;current-ctest	mobile-core	Unit-test gates remain in the final tree where supported by this checkout.
1ba1f5833c086c1ef31e2d8d15a8a03bfb860802	public-persistent-only	修改检视意见	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in the final tree.
e3e3f332bcb1a630dfc433cf9572cd7200568d7e	public-persistent-only	补充UT覆盖率：从76.11%提升至79.84%	ancestor-kept-tests	tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Added unit coverage remains in the current suite.
9e52a6254bd6d2fc7c93aee51b5bb57b3e875a69	public-persistent-only	修复UT编译失败：删除引用不存在API的3个孤儿测试函数	ancestor-kept-tests	tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Test compilation cleanup remains in ancestry.
705604e450260611a77c7ea8b8dbaabbb77189b1	public-persistent-only	修改检视意见	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in the final tree.
cb88f071560ea2d1f9db102f8f8e4a75d0c42a7e	public-persistent-only	修复检视意见	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in the final tree.
9e29738e92bdc2475bbc440a2f5252d121c14da1	public-persistent-only	修复检视意见	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in the final tree.
2d4fb381b79b00f5a52272ae3df7ab93511dce91	public-persistent-only	修复检视意见：CodeRabbit 22+3 项 review 收敛	ancestor-kept-review	core/**;adapters/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review convergence remains in the final tree.
c5089787751232403d0591d78590feb1c11c0fe9	public-persistent-only	检视意见修改	ancestor-kept-review	core/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Review fixes remain in the final tree.
29b1534ff1208a959f298790e7a21da7c371abc0	public-persistent-only	sync main producer hardening into persistent	ancestor-kept-main-sync	core/**;adapters/**;tests/**	keep	git-is-ancestor;current-ctest	mobile-core	Main hardening already synchronized into the persistent baseline remains in the final tree.
ede7ef3dc3d7df08a57ecb924eef8b33d6e208c8	public-persistent-only	Merge 'codex/persistent-main-sync' into 'persistent'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	No independent final-tree semantics.
f0f55f9444b88b6a195f58ed993120ed3939b152	public-persistent-only	fix: propagate Android user agent through producer	ancestor-kept-android-binding	bindings/android/**;core/**	keep	git-is-ancestor;android-binding-ctest	mobile-core	Android user agent propagation remains in the final tree.
e6217d4176c08d46a11848bf1eb85efc64b25112	public-persistent-only	Merge pull request #2 from volcengine/sync-persistent-android-user-agent	public-tip-merge-wrapper	git-history	content-via-f0f55f9	public-tip-tree-audit	mobile-core	HEAD does not contain this wrapper topology, but its Android user-agent payload is present through f0f55f9.
efb5b1c114f43ecd3d88aaa84a7e179b0c2836a8	internal-main-only	Update 内部仓库同步开源仓库.yml	internal-pipeline	.codebase/pipelines/**	defer-internal-ci	static-final-tree	release-engineering	Internal synchronization pipeline is not a mobile-core runtime contract.
9eba8317cd7a8d6d64fc72ba433e90239ce74181	internal-main-tip	Merge 'merge_sync' into 'main'	merge-wrapper	git-history	noop	merge-tree-audit	mobile-core	Internal main tip wrapper has no independent final-tree semantics.
b4dd5c17b50adef677d3249b1b3727004a90b350	local-convergence	fix: prevent send task body double free	c1-ownership-fix	core/src/producer/ve_tls_producer_builder.c;tests/test_basic.c	keep	allocator-failure-regression;asan-ubsan	mobile-core	Explicit ownership transfer prevents allocator-failure double free.
61e6f67084948ca1e5677398328626d877113728	local-convergence	fix: retain persistent records after delivery failure	c2-ack-retention	core/src/producer/ve_tls_persistent.c;tests/test_basic.c	keep	retry-exhausted-recover;queue-failure-recover;out-of-order-ack	mobile-core	Retryable and temporary internal failures no longer advance persistent ACK.
4a492c458a8adce2bffb5422c55c79ced8f2ad2d	local-convergence	fix: align 64-bit atomics on 32-bit Android	android-atomic-alignment	core/src/producer/ve_tls_producer_internal.h;tests/**	keep	four-abi-android-build;current-ctest	mobile-core	Preserves 64-bit atomic alignment on 32-bit Android ABIs.
c25ac148650efe5f331bb385aa2a2a2ac3e92e04	local-convergence	fix: implement persistent WAL durability modes	c3-durability	core/include/ve_tls_producer.h;core/src/producer/**;bindings/android/**;tests/**	keep	fsync-fault-injection;current-ctest	mobile-core	Buffered and sync WAL acceptance semantics are explicit and tested.
506b5f1a6ccee79e6069e3e5c64510966b4aff52	local-convergence	fix: enforce persistent watermark capacity contract	c4-watermark	core/src/producer/ve_tls_segment_store.c;tests/**	keep	high-to-low-reclaim;current-ctest	mobile-core	Low watermark now participates in reclaim and overflow behavior is observable.
cdaf256769ff864170813cbae4c6d36a03fb395e	local-convergence	feat(persistent): version WAL records and manifest	c5-format-version	core/src/producer/ve_tls_persistent_format.c;core/src/producer/ve_tls_segment_store.c;tests/**	keep	format-upgrade;crc-truncate-unknown-version;current-ctest	mobile-core	WAL and manifest are versioned; target updates intentionally route backlog to the current target with warning metrics.
contract:breaker-ingress-policy	contract	ALLOW/FAIL_FAST/DROP_WITH_CALLBACK under persistent WAL	product-decision	public-config;core-ingress;android-binding	defer	static-contract-audit	product-mobile-core	Checking before WAL rejects durable acceptance; checking after WAL can contradict drop callbacks. Do not expose until semantics are frozen.
contract:android-persistent-config	contract	Expose watermark and overflow controls through Android	c7-gap	bindings/android/include/ve_tls_android_binding.h;Android JNI/config	defer-c7	static-contract-audit	android-sdk	C supports controls not yet represented by the Android public binding; this is C7 scope.
contract:camera-demo-architecture-svg	contract	Public demo and generated architecture asset	release-polish-gap	tools/camera_dynamic_credentials_demo.c;docs/architecture.svg	defer-c8	static-final-tree	release	Not required for the single mobile-core runtime, but should be decided before public release packaging.
contract:license	contract	Apache License 2.0 exact upstream text	release-hygiene	LICENSE	ported-c6	exact-blob-match-origin-main	release	Final release tree must track the public license.
contract:curl-response-reuse	contract	A reused response must not expose or double-free stale dynamic fields	c6-hardening	adapters/src/ve_tls_http_curl.c;tests/test_basic.c;CMakeLists.txt	ported-c6	easy-init-failure-injection;malformed-url;curl-enabled-asan	mobile-core	Response cleanup precedes easy-handle acquisition and is covered before and after curl setup.
